Frame,Part of frame,Layer,X,Y
5253,336,2147483648,336,359
5253,337,1879048192,337,0
5253,337,2147483648,337,359
5253,338,1879048192,338,0
5253,338,2147483648,338,359
5253,339,1879048192,339,0
5253,339,2147483648,339,359
5253,340,1879048192,340,0
5253,340,2147483648,340,359
5253,341,1879048192,341,0
5253,341,2147483648,341,359
5253,342,1879048192,342,0
5253,342,2147483648,342,359
5253,343,1879048192,343,0
5253,343,2147483648,343,359
5253,344,1879048192,344,0
5253,344,2147483648,344,359
5253,345,1879048192,345,0
5253,345,2147483648,345,359
5253,346,1879048192,346,0
5253,346,2147483648,346,359
5253,347,1879048192,347,0
5253,347,2147483648,347,359
5253,348,1879048192,348,0
5253,348,2147483648,348,359
5253,349,1879048192,349,0
5253,349,2147483648,349,359
5253,350,1879048192,350,0
5253,350,2147483648,350,359
5253,351,1879048192,351,0
5253,351,2147483648,351,359
5253,352,1879048192,352,0
5253,352,2147483648,352,359
5253,353,1879048192,353,0
5253,353,2147483648,353,359
5253,354,1879048192,354,0
5253,354,2147483648,354,359
5253,355,1879048192,355,0
5253,355,2147483648,355,359
5253,356,1879048192,356,0
5253,356,2147483648,356,359
5253,357,1879048192,357,0
5253,357,2147483648,357,359
5253,358,1879048192,358,0
5253,358,2147483648,358,359
5253,359,1879048192,359,0
5253,359,2147483648,359,359
5253,360,1879048192,360,0
5253,360,2147483648,360,359
5253,361,1879048192,361,0
5253,361,2147483648,361,359
5253,362,1879048192,362,0
5253,362,2147483648,362,359
5253,363,1879048192,363,0
5253,363,2147483648,363,359
5253,364,1879048192,364,0
5253,364,2147483648,364,359
5253,365,1879048192,365,0
5253,365,2147483648,365,359
5253,366,1879048192,366,0
5253,366,2147483648,366,359
5253,367,1879048192,367,0
5253,367,2147483648,367,359
5253,368,1879048192,368,0
5253,368,2147483648,368,359
5253,369,1879048192,369,0
5253,369,2147483648,369,359
5253,370,1879048192,370,0
5253,370,2147483648,370,359
5253,371,1879048192,371,0
5253,371,2147483648,371,359
5253,372,1879048192,372,0
5253,372,2147483648,372,359
5253,373,1879048192,373,0
5253,373,2147483648,373,359
5253,374,1879048192,374,0
5253,374,2147483648,374,359
5253,375,1879048192,375,0
5253,375,2147483648,375,359
5253,376,1879048192,376,0
5253,376,2147483648,376,359
5253,377,1879048192,377,0
5253,377,2147483648,377,359
5253,378,1879048192,378,0
5253,378,2147483648,378,359
5253,379,1879048192,379,0
5253,379,2147483648,379,359
5253,380,1879048192,380,0
5253,380,2147483648,380,359
5253,381,1879048192,381,0
5253,381,2147483648,381,359
5253,382,1879048192,382,0
5253,382,2147483648,382,359
5253,383,1879048192,383,0
5253,383,2147483648,383,359
5253,384,1879048192,384,0
5253,384,2147483648,384,359
5253,385,1879048192,385,0
5253,385,2147483648,385,359
5253,386,1879048192,386,0
5253,386,2147483648,386,359
5253,387,1879048192,387,0
5253,387,2147483648,387,359
5253,388,1879048192,388,0
5253,388,2147483648,388,359
5253,389,1879048192,389,0
5253,389,2147483648,389,359
5253,390,1879048192,390,0
5253,390,2147483648,390,359
5253,391,1879048192,391,0
5253,391,2147483648,391,359
5253,392,1879048192,392,0
5253,392,2147483648,392,359
5253,393,1879048192,393,0
5253,393,2147483648,393,359
5253,394,1879048192,394,0
5253,394,2147483648,394,359
5253,395,1879048192,395,0
5253,395,2147483648,395,359
5253,396,1879048192,396,0
5253,396,2147483648,396,359
5253,397,1879048192,397,0
5253,397,2147483648,397,359
5253,398,1879048192,398,0
5253,398,2147483648,398,359
5253,399,1879048192,399,0
5253,399,2147483648,399,359
5253,400,1879048192,400,0
5253,400,2147483648,400,359
5253,401,1879048192,401,0
5253,401,2147483648,401,359
5253,402,1879048192,402,0
5253,402,2147483648,402,359
5253,403,1879048192,403,0
5253,403,2147483648,403,359
5253,404,1879048192,404,0
5253,404,2147483648,404,359
5253,405,1879048192,405,0
5253,405,2147483648,405,359
5253,406,1879048192,406,0
5253,406,2147483648,406,359
5253,407,1879048192,407,0
5253,407,2147483648,407,359
5253,408,1879048192,408,0
5253,408,2147483648,408,359
5253,409,1879048192,409,0
5253,409,2147483648,409,359
5253,410,1879048192,410,0
5253,410,2147483648,410,359
5253,411,1879048192,411,0
5253,411,2147483648,411,359
5253,412,1879048192,412,0
5253,412,2147483648,412,359
5253,413,1879048192,413,0
5253,413,2147483648,413,359
5253,414,1879048192,414,0
5253,414,2147483648,414,359
5253,415,1879048192,415,0
5253,415,2147483648,415,359
5253,416,1879048192,416,0
5253,416,2147483648,416,359
5253,417,1879048192,417,0
5253,417,2147483648,417,359
5253,418,1879048192,418,0
5253,418,2147483648,418,359
5253,419,1879048192,419,0
5253,419,2147483648,419,359
5253,420,1879048192,420,0
5253,420,2147483648,420,359
5253,421,1879048192,421,0
5253,421,2147483648,421,359
5253,422,1879048192,422,0
5253,422,2147483648,422,359
5253,423,1879048192,423,0
5253,423,2147483648,423,359
5253,424,1879048192,424,0
5253,424,2147483648,424,359
5253,425,1879048192,425,0
5253,425,2147483648,425,359
5253,426,1879048192,426,0
5253,426,2147483648,426,359
5253,427,1879048192,427,0
5253,427,2147483648,427,359
5253,428,1879048192,428,0
5253,428,2147483648,428,359
5253,429,1879048192,429,0
5253,429,2147483648,429,359
5253,430,1879048192,430,0
5253,430,2147483648,430,359
5253,431,1879048192,431,0
5253,431,2147483648,431,359
5253,432,1879048192,432,0
5253,432,2147483648,432,359
5253,433,1879048192,433,0
5253,433,2147483648,433,359
5253,434,1879048192,434,0
5253,434,2147483648,434,359
5253,435,1879048192,435,0
