Frame,Part of frame,Layer,X,Y
522,286,805306370,286,186
522,286,805306371,286,192
522,286,1073741824,286,191
522,286,1073741825,286,185
522,286,1073741826,286,180
522,286,1073741827,286,170
522,287,805306368,287,171
522,287,805306369,287,181
522,287,805306370,287,187
522,287,805306371,287,188
522,287,1073741824,287,187
522,287,1073741825,287,186
522,287,1073741826,287,180
522,287,1073741827,287,170
522,288,805306368,288,84
522,288,805306369,288,87
522,288,805306370,288,171
522,288,805306371,288,181
522,288,1073741824,288,180
522,288,1073741825,288,170
522,288,1073741826,288,86
522,288,1073741827,288,83
522,289,805306368,289,75
522,289,805306369,289,77
522,289,805306370,289,84
522,289,805306371,289,90
522,289,805306372,289,172
522,289,805306373,289,181
522,289,1073741824,289,180
522,289,1073741825,289,171
522,289,1073741826,289,89
522,289,1073741827,289,83
522,289,1073741828,289,76
522,289,1073741829,289,74
522,290,805306368,290,74
522,290,805306369,290,78
522,290,805306370,290,84
522,290,805306371,290,90
522,290,805306372,290,172
522,290,805306373,290,182
522,290,1073741824,290,181
522,290,1073741825,290,171
522,290,1073741826,290,89
522,290,1073741827,290,83
522,290,1073741828,290,77
522,290,1073741829,290,73
522,291,805306368,291,74
522,291,805306369,291,79
522,291,805306370,291,84
522,291,805306371,291,90
522,291,805306372,291,172
522,291,805306373,291,182
522,291,1073741824,291,181
522,291,1073741825,291,171
522,291,1073741826,291,89
522,291,1073741827,291,83
522,291,1073741828,291,78
522,291,1073741829,291,73
522,292,805306368,292,74
522,292,805306369,292,90
522,292,805306370,292,172
522,292,805306371,292,182
522,292,1073741824,292,181
522,292,1073741825,292,171
522,292,1073741826,292,89
522,292,1073741827,292,73
522,293,805306368,293,74
522,293,805306369,293,90
522,293,805306370,293,172
522,293,805306371,293,182
522,293,1073741824,293,181
522,293,1073741825,293,171
522,293,1073741826,293,89
522,293,1073741827,293,73
522,294,805306368,294,75
522,294,805306369,294,91
522,294,805306370,294,172
522,294,805306371,294,182
522,294,1073741824,294,181
522,294,1073741825,294,171
522,294,1073741826,294,90
522,294,1073741827,294,74
522,295,805306368,295,75
522,295,805306369,295,91
522,295,805306370,295,172
522,295,805306371,295,182
522,295,1073741824,295,181
522,295,1073741825,295,171
522,295,1073741826,295,90
522,295,1073741827,295,74
522,296,805306368,296,77
522,296,805306369,296,92
522,296,805306370,296,172
522,296,805306371,296,182
522,296,1073741824,296,181
522,296,1073741825,296,171
522,296,1073741826,296,91
522,296,1073741827,296,76
522,297,805306368,297,78
522,297,805306369,297,92
522,297,805306370,297,172
522,297,805306371,297,182
522,297,1073741824,297,181
522,297,1073741825,297,171
522,297,1073741826,297,91
522,297,1073741827,297,77
522,298,805306368,298,78
522,298,805306369,298,93
522,298,805306370,298,172
522,298,805306371,298,182
522,298,1073741824,298,181
522,298,1073741825,298,171
522,298,1073741826,298,92
522,298,1073741827,298,77
522,299,805306368,299,79
522,299,805306369,299,93
522,299,805306370,299,172
522,299,805306371,299,182
522,299,1073741824,299,181
522,299,1073741825,299,171
522,299,1073741826,299,92
522,299,1073741827,299,78
522,300,805306368,300,79
522,300,805306369,300,92
522,300,805306370,300,172
522,300,805306371,300,182
522,300,1073741824,300,181
522,300,1073741825,300,171
522,300,1073741826,300,91
522,300,1073741827,300,78
522,301,805306368,301,79
522,301,805306369,301,93
522,301,805306370,301,172
522,301,805306371,301,182
522,301,1073741824,301,181
522,301,1073741825,301,171
522,301,1073741826,301,92
522,301,1073741827,301,78
522,302,805306368,302,80
522,302,805306369,302,94
522,302,805306370,302,172
522,302,805306371,302,182
522,302,1073741824,302,181
522,302,1073741825,302,171
522,302,1073741826,302,93
522,302,1073741827,302,79
522,303,805306368,303,80
522,303,805306369,303,94
522,303,805306370,303,172
522,303,805306371,303,182
522,303,1073741824,303,181
522,303,1073741825,303,171
522,303,1073741826,303,93
522,303,1073741827,303,79
522,304,805306368,304,80
522,304,805306369,304,95
522,304,805306370,304,172
522,304,805306371,304,182
522,304,1073741824,304,181
522,304,1073741825,304,171
522,304,1073741826,304,94
522,304,1073741827,304,79
522,305,805306368,305,79
522,305,805306369,305,95
522,305,805306370,305,172
522,305,805306371,305,182
522,305,1073741824,305,181
522,305,1073741825,305,171
522,305,1073741826,305,94
522,305,1073741827,305,78
522,306,805306368,306,78
522,306,805306369,306,95
522,306,805306370,306,172
522,306,805306371,306,182
522,306,1073741824,306,181
522,306,1073741825,306,171
522,306,1073741826,306,94
522,306,1073741827,306,77
522,307,805306368,307,77
522,307,805306369,307,96
522,307,805306370,307,172
522,307,805306371,307,182
522,307,1073741824,307,181
522,307,1073741825,307,171
522,307,1073741826,307,95
522,307,1073741827,307,76
522,308,805306368,308,77
522,308,805306369,308,96
522,308,805306370,308,172
522,308,805306371,308,183
522,308,1073741824,308,182
522,308,1073741825,308,171
522,308,1073741826,308,95
522,308,1073741827,308,76
522,309,805306368,309,76
522,309,805306369,309,96
522,309,805306370,309,108
522,309,805306371,309,111
522,309,805306372,309,171
522,309,805306373,309,183
522,309,1073741824,309,182
522,309,1073741825,309,170
522,309,1073741826,309,110
522,309,1073741827,309,107
522,309,1073741828,309,95
522,309,1073741829,309,75
522,310,805306368,310,76
522,310,805306369,310,96
522,310,805306370,310,107
522,310,805306371,310,113
522,310,805306372,310,170
522,310,805306373,310,183
522,310,1073741824,310,182
522,310,1073741825,310,169
522,310,1073741826,310,112
522,310,1073741827,310,106
522,310,1073741828,310,95
522,310,1073741829,310,75
522,311,805306368,311,75
522,311,805306369,311,97
522,311,805306370,311,105
522,311,805306371,311,114
522,311,805306372,311,169
522,311,805306373,311,183
522,311,1073741824,311,182
522,311,1073741825,311,168
522,311,1073741826,311,113
522,311,1073741827,311,104
522,311,1073741828,311,96
522,311,1073741829,311,74
522,312,805306368,312,75
522,312,805306369,312,98
522,312,805306370,312,104
522,312,805306371,312,115
522,312,805306372,312,168
522,312,805306373,312,184
522,312,1073741824,312,183
522,312,1073741825,312,167
522,312,1073741826,312,114
522,312,1073741827,312,103
522,312,1073741828,312,97
522,312,1073741829,312,74
522,313,805306368,313,75
522,313,805306369,313,98
522,313,805306370,313,103
522,313,805306371,313,116
522,313,805306372,313,167
522,313,805306373,313,183
522,313,1073741824,313,182
522,313,1073741825,313,166
522,313,1073741826,313,115
522,313,1073741827,313,102
522,313,1073741828,313,97
522,313,1073741829,313,74
522,314,805306368,314,74
522,314,805306369,314,98
522,314,805306370,314,102
522,314,805306371,314,117
522,314,805306372,314,166
522,314,805306373,314,184
522,314,1073741824,314,183
522,314,1073741825,314,165
522,314,1073741826,314,116
522,314,1073741827,314,101
522,314,1073741828,314,97
522,314,1073741829,314,73
522,315,805306368,315,74
522,315,805306369,315,99
522,315,805306370,315,102
522,315,805306371,315,117
522,315,805306372,315,165
522,315,805306373,315,184
522,315,805306374,315,188
522,315,805306375,315,191
522,315,1073741824,315,190
522,315,1073741825,315,187
522,315,1073741826,315,183
522,315,1073741827,315,164
522,315,1073741828,315,116
522,315,1073741829,315,101
522,315,1073741830,315,98
522,315,1073741831,315,73
522,316,805306368,316,74
522,316,805306369,316,99
522,316,805306370,316,102
522,316,805306371,316,117
522,316,805306372,316,163
522,316,805306373,316,183
522,316,805306374,316,185
522,316,805306375,316,192
522,316,1073741824,316,191
522,316,1073741825,316,184
522,316,1073741826,316,182
522,316,1073741827,316,162
522,316,1073741828,316,116
522,316,1073741829,316,101
522,316,1073741830,316,98
522,316,1073741831,316,73
522,317,805306368,317,73
522,317,805306369,317,99
522,317,805306370,317,101
522,317,805306371,317,118
522,317,805306372,317,162
522,317,805306373,317,183
522,317,805306374,317,184
522,317,805306375,317,193
522,317,1073741824,317,192
522,317,1073741825,317,183
522,317,1073741826,317,182
522,317,1073741827,317,161
522,317,1073741828,317,117
522,317,1073741829,317,100
522,317,1073741830,317,98
522,317,1073741831,317,72
522,318,805306368,318,71
522,318,805306369,318,99
522,318,805306370,318,101
522,318,805306371,318,118
522,318,805306372,318,161
522,318,805306373,318,193
522,318,1073741824,318,192
522,318,1073741825,318,160
522,318,1073741826,318,117
522,318,1073741827,318,100
522,318,1073741828,318,98
522,318,1073741829,318,70
522,319,805306368,319,69
522,319,805306369,319,118
522,319,805306370,319,159
522,319,805306371,319,194
522,319,1073741824,319,193
522,319,1073741825,319,158
522,319,1073741826,319,117
522,319,1073741827,319,68
522,320,805306368,320,68
522,320,805306369,320,120
522,320,805306370,320,124
522,320,805306371,320,137
522,320,805306372,320,158
522,320,805306373,320,194
522,320,1073741824,320,193
522,320,1073741825,320,157
522,320,1073741826,320,136
522,320,1073741827,320,123
522,320,1073741828,320,119
522,320,1073741829,320,67
522,321,805306368,321,66
522,321,805306369,321,138
522,321,805306370,321,156
522,321,805306371,321,194
522,321,1073741824,321,193
522,321,1073741825,321,155
522,321,1073741826,321,137
522,321,1073741827,321,65
522,322,805306368,322,65
522,322,805306369,322,138
522,322,805306370,322,154
522,322,805306371,322,194
522,322,1073741824,322,193
522,322,1073741825,322,153
522,322,1073741826,322,137
522,322,1073741827,322,64
522,323,805306368,323,64
522,323,805306369,323,139
522,323,805306370,323,152
522,323,805306371,323,194
522,323,1073741824,323,193
522,323,1073741825,323,151
522,323,1073741826,323,138
522,323,1073741827,323,63
522,324,805306368,324,63
522,324,805306369,324,111
522,324,805306370,324,112
522,324,805306371,324,139
522,324,805306372,324,150
522,324,805306373,324,194
522,324,1073741824,324,193
522,324,1073741825,324,149
522,324,1073741826,324,138
522,324,1073741827,324,111
522,324,1073741828,324,110
522,324,1073741829,324,62
522,325,805306368,325,62
522,325,805306369,325,108
522,325,805306370,325,113
522,325,805306371,325,139
522,325,805306372,325,149
522,325,805306373,325,194
522,325,1073741824,325,193
522,325,1073741825,325,148
522,325,1073741826,325,138
522,325,1073741827,325,112
522,325,1073741828,325,107
522,325,1073741829,325,61
522,326,805306368,326,61
522,326,805306369,326,107
522,326,805306370,326,110
522,326,805306371,326,138
522,326,805306372,326,147
522,326,805306373,326,164
522,326,805306374,326,167
522,326,805306375,326,194
522,326,1073741824,326,193
522,326,1073741825,326,166
522,326,1073741826,326,163
522,326,1073741827,326,146
522,326,1073741828,326,137
522,326,1073741829,326,109
522,326,1073741830,326,106
522,326,1073741831,326,60
522,327,805306368,327,61
522,327,805306369,327,108
522,327,805306370,327,109
522,327,805306371,327,138
522,327,805306372,327,146
522,327,805306373,327,163
522,327,805306374,327,166
522,327,805306375,327,194
522,327,1073741824,327,193
522,327,1073741825,327,165
522,327,1073741826,327,162
522,327,1073741827,327,145
522,327,1073741828,327,137
522,327,1073741829,327,108
522,327,1073741830,327,107
522,327,1073741831,327,60
522,328,805306368,328,60
522,328,805306369,328,136
522,328,805306370,328,144
522,328,805306371,328,161
522,328,805306372,328,165
522,328,805306373,328,194
522,328,1073741824,328,193
522,328,1073741825,328,164
522,328,1073741826,328,160
522,328,1073741827,328,143
522,328,1073741828,328,135
522,328,1073741829,328,59
522,329,805306368,329,60
522,329,805306369,329,135
522,329,805306370,329,140
522,329,805306371,329,160
522,329,805306372,329,164
522,329,805306373,329,194
522,329,1073741824,329,193
522,329,1073741825,329,163
522,329,1073741826,329,159
522,329,1073741827,329,139
522,329,1073741828,329,134
522,329,1073741829,329,59
522,330,805306368,330,60
522,330,805306369,330,158
522,330,805306370,330,163
522,330,805306371,330,193
522,330,1073741824,330,192
522,330,1073741825,330,162
522,330,1073741826,330,157
522,330,1073741827,330,59
522,331,805306368,331,59
522,331,805306369,331,157
522,331,805306370,331,162
522,331,805306371,331,193
522,331,1073741824,331,192
522,331,1073741825,331,161
522,331,1073741826,331,156
522,331,1073741827,331,58
522,332,805306368,332,59
522,332,805306369,332,156
522,332,805306370,332,161
522,332,805306371,332,193
522,332,1073741824,332,192
522,332,1073741825,332,160
522,332,1073741826,332,155
522,332,1073741827,332,58
522,333,805306368,333,59
522,333,805306369,333,154
522,333,805306370,333,160
522,333,805306371,333,193
522,333,1073741824,333,192
522,333,1073741825,333,159
522,333,1073741826,333,153
522,333,1073741827,333,58
522,334,805306368,334,58
522,334,805306369,334,153
522,334,805306370,334,159
522,334,805306371,334,192
522,334,1073741824,334,191
522,334,1073741825,334,158
522,334,1073741826,334,152
522,334,1073741827,334,57
522,335,805306368,335,58
522,335,805306369,335,151
522,335,805306370,335,158
522,335,805306371,335,192
522,335,1073741824,335,191
522,335,1073741825,335,157
522,335,1073741826,335,150
522,335,1073741827,335,57
522,336,805306368,336,58
522,336,805306369,336,149
522,336,805306370,336,156
522,336,805306371,336,192
522,336,1073741824,336,191
522,336,1073741825,336,155
522,336,1073741826,336,148
522,336,1073741827,336,57
522,337,805306368,337,58
522,337,805306369,337,147
522,337,805306370,337,155
522,337,805306371,337,192
522,337,1073741824,337,191
522,337,1073741825,337,154
522,337,1073741826,337,146
522,337,1073741827,337,57
