Frame,Part of frame,Layer,X,Y
419,407,268435458,407,293
419,406,536870912,406,293
419,397,536870913,397,293
419,253,536870914,253,293
419,254,268435456,254,294
419,398,268435457,398,294
419,407,268435458,407,294
419,406,536870912,406,294
419,397,536870913,397,294
419,253,536870914,253,294
419,254,268435456,254,295
419,399,268435457,399,295
419,407,268435458,407,295
419,406,536870912,406,295
419,398,536870913,398,295
419,253,536870914,253,295
419,254,268435456,254,296
419,400,268435457,400,296
419,407,268435458,407,296
419,406,536870912,406,296
419,399,536870913,399,296
419,253,536870914,253,296
419,254,268435456,254,297
419,403,268435457,403,297
419,407,268435458,407,297
419,406,536870912,406,297
419,402,536870913,402,297
419,253,536870914,253,297
419,254,268435456,254,298
419,405,268435457,405,298
419,407,268435458,407,298
419,406,536870912,406,298
419,404,536870913,404,298
419,253,536870914,253,298
419,254,268435456,254,299
419,253,536870912,253,299
419,254,268435456,254,300
419,298,268435457,298,300
419,300,268435458,300,300
419,299,536870912,299,300
419,297,536870913,297,300
419,253,536870914,253,300
419,254,268435456,254,301
419,298,268435457,298,301
419,300,268435458,300,301
419,299,536870912,299,301
419,297,536870913,297,301
419,253,536870914,253,301
419,254,268435456,254,302
419,298,268435457,298,302
419,301,268435458,301,302
419,300,536870912,300,302
419,297,536870913,297,302
419,253,536870914,253,302
419,254,268435456,254,303
419,298,268435457,298,303
419,302,268435458,302,303
419,301,536870912,301,303
419,297,536870913,297,303
419,253,536870914,253,303
419,254,268435456,254,304
419,297,268435457,297,304
419,302,268435458,302,304
419,301,536870912,301,304
419,296,536870913,296,304
419,253,536870914,253,304
419,255,268435456,255,305
419,297,268435457,297,305
419,303,268435458,303,305
419,302,536870912,302,305
419,296,536870913,296,305
419,254,536870914,254,305
419,255,268435456,255,306
419,297,268435457,297,306
419,304,268435458,304,306
419,303,536870912,303,306
419,296,536870913,296,306
419,254,536870914,254,306
419,255,268435456,255,307
419,297,268435457,297,307
419,304,268435458,304,307
419,303,536870912,303,307
419,296,536870913,296,307
419,254,536870914,254,307
419,255,268435456,255,308
419,297,268435457,297,308
419,305,268435458,305,308
419,304,536870912,304,308
419,296,536870913,296,308
419,254,536870914,254,308
419,255,268435456,255,309
419,296,268435457,296,309
419,306,268435458,306,309
419,305,536870912,305,309
419,295,536870913,295,309
419,254,536870914,254,309
419,255,268435456,255,310
419,296,268435457,296,310
419,307,268435458,307,310
419,306,536870912,306,310
419,295,536870913,295,310
419,254,536870914,254,310
419,256,268435456,256,311
419,296,268435457,296,311
419,308,268435458,308,311
419,307,536870912,307,311
419,295,536870913,295,311
419,255,536870914,255,311
419,256,268435456,256,312
419,296,268435457,296,312
419,308,268435458,308,312
419,307,536870912,307,312
419,295,536870913,295,312
419,255,536870914,255,312
419,256,268435456,256,313
419,295,268435457,295,313
419,309,268435458,309,313
419,308,536870912,308,313
419,294,536870913,294,313
419,255,536870914,255,313
419,257,268435456,257,314
419,295,268435457,295,314
419,310,268435458,310,314
419,309,536870912,309,314
419,294,536870913,294,314
419,256,536870914,256,314
419,258,268435456,258,315
419,295,268435457,295,315
419,311,268435458,311,315
419,310,536870912,310,315
419,294,536870913,294,315
419,257,536870914,257,315
419,258,268435456,258,316
419,295,268435457,295,316
419,311,268435458,311,316
419,310,536870912,310,316
419,294,536870913,294,316
419,257,536870914,257,316
419,260,268435456,260,317
419,294,268435457,294,317
419,312,268435458,312,317
419,311,536870912,311,317
419,293,536870913,293,317
419,259,536870914,259,317
419,262,268435456,262,318
419,265,268435457,265,318
419,266,268435458,266,318
419,294,268435459,294,318
419,313,268435460,313,318
419,312,536870912,312,318
419,293,536870913,293,318
419,265,536870914,265,318
419,264,536870915,264,318
419,261,536870916,261,318
419,266,268435456,266,319
419,294,268435457,294,319
419,314,268435458,314,319
419,313,536870912,313,319
419,293,536870913,293,319
419,265,536870914,265,319
419,265,268435456,265,320
419,294,268435457,294,320
419,315,268435458,315,320
419,314,536870912,314,320
419,293,536870913,293,320
419,264,536870914,264,320
419,265,268435456,265,321
419,293,268435457,293,321
419,315,268435458,315,321
419,314,536870912,314,321
419,292,536870913,292,321
419,264,536870914,264,321
419,264,268435456,264,322
419,293,268435457,293,322
419,316,268435458,316,322
419,315,536870912,315,322
419,292,536870913,292,322
419,263,536870914,263,322
419,264,268435456,264,323
419,293,268435457,293,323
419,317,268435458,317,323
419,316,536870912,316,323
419,292,536870913,292,323
419,263,536870914,263,323
419,263,268435456,263,324
419,293,268435457,293,324
419,318,268435458,318,324
419,317,536870912,317,324
419,292,536870913,292,324
419,262,536870914,262,324
419,262,268435456,262,325
419,293,268435457,293,325
419,318,268435458,318,325
419,317,536870912,317,325
419,292,536870913,292,325
